Instance,claspfolio
cv_data4-7-15,58.7000
cv_data4-7-14,4.9880
cv_data4-7-17,1.1640
cv_data4-7-16,9.0330
cv_data5-4-4,297.2750
cv_data5-5-29,1960.9790
cv_data5-5-28,36000.0000
cv_data5-5-25,573.4320
cv_data5-5-24,0.7880
cv_data5-5-27,2180.4440
BF8_cpmp_16_5_64_26_48_6,36000.0000
cv_data5-5-21,205.3090
cv_data5-5-20,84.8970
cv_data5-5-23,6.0160
cv_data5-5-22,79.8850
BF21_cpmp_20_5_80_16_48_11,36000.0000
BF21_cpmp_20_5_80_16_48_14,8.6250
BF21_cpmp_20_5_80_16_48_16,1.0960
BF21_cpmp_20_5_80_16_48_19,36000.0000
BF21_cpmp_20_5_80_16_48_18,36000.0000
BF2_cpmp_16_5_48_10_36_19,0.2840
BF11_cpmp_16_8_77_31_47_16,249.4880
BF11_cpmp_16_8_77_31_47_10,2031.0390
BF11_cpmp_16_8_77_31_47_11,422.5300
cv_data5-9-21,608.6940
BF2_cpmp_16_5_48_10_36_20,4.0040
cv_data4-4-19,0.2040
cv_data4-4-10,0.1520
BF5_cpmp_16_5_64_13_39_20,36000.0000
cv_data4-4-12,0.5760
cv_data4-4-13,0.0640
cv_data4-4-14,0.4320
cv_data4-4-15,0.2560
cv_data4-4-16,6.4320
BF8_cpmp_16_5_64_26_48_11,196.6480
BF8_cpmp_16_5_64_26_48_12,12.0090
BF8_cpmp_16_5_64_26_48_17,36000.0000
BF23_cpmp_20_5_80_32_48_3,213.6330
BF23_cpmp_20_5_80_32_48_4,2.7680
BF23_cpmp_20_5_80_32_48_7,36000.0000
BF23_cpmp_20_5_80_32_48_6,2.8560
BF19_cpmp_20_5_60_24_36_20,0.0040
cv_data3-8-28,0.1040
BF9_cpmp_16_8_77_16_47_4,1010.0910
BF9_cpmp_16_8_77_16_47_7,1246.8220
BF9_cpmp_16_8_77_16_47_6,444.7480
BF9_cpmp_16_8_77_16_47_1,1468.6680
cv_data4-7-40,0.1240
BF9_cpmp_16_8_77_16_47_3,1.9320
cv_data3-8-24,0.5400
cv_data3-8-25,0.1560
cv_data4-5-14,3.8640
cv_data5-10-33,3050.2350
cv_data5-10-32,36000.0000
BF17_cpmp_20_5_60_12_36_15,0.0240
BF17_cpmp_20_5_60_12_36_17,33.7740
BF17_cpmp_20_5_60_12_36_16,106.6430
BF17_cpmp_20_5_60_12_36_11,36000.0000
